,0
0,0.0006218019304739283
1,0.0009502174546296922
2,0.000627192188682063
3,0.0006763299512515471
4,0.001115574750017606
5,0.0003665260015310437
6,0.0005972663397484651
7,0.0008140195289072779
8,0.0007778682085390755
9,0.0004866713772289152
10,0.0005882859664291142
11,0.0006579249861271145
12,0.0009625565610051679
13,0.0007975008105264893
14,0.0009915076311272782
15,0.001184043547207485
16,0.000610822232402402
17,0.0003780783338120513
18,0.0007094232129980855
19,0.0006583123530585194
20,0.0006472937836235437
21,0.0013327529398483103
22,0.0007519447138377317
23,0.0005860868123348883
24,0.0007392882197579539
25,0.0005631289557538309
26,0.0005711861297742464
27,0.0006133711478143707
28,0.0008582021117030448
29,0.0005953540739277006
30,0.0006061598074725415
31,0.0011244916454796147
32,0.0005762673107629459
33,0.0012349058633549994
34,0.0007782948380660819
35,0.0005949482311953191
36,0.0008928868990376745
37,0.0007590124842287941
38,0.000598516956694449
39,0.0005546644630897888
40,0.001093635423220633
41,0.0008357694288986888
42,0.00042166387764026744
43,0.0012091650084252708
44,0.000549369544133404
45,0.000891015316396209
46,0.0008017480700379968
47,0.0005532730017186202
48,0.00037843154895180376
49,0.0011475241933717338
50,0.0007950330622307387
51,0.0013135980901562796
52,0.0008134908928628524
53,0.001013067556823479
54,0.0011676889845088185
55,0.0015520049890395482
56,0.0030439500326893427
57,0.0006125162803247317
58,0.0004187814765520579
59,0.0006128405139706274
60,0.0008699800148345151
61,0.0007503014349233141
62,0.0004179390567545082
63,0.000854820343265405
64,0.0008046998573888849
65,0.0007556087380618423
66,0.0007417278272017188
67,0.0006944616822545695
68,0.00040532856468792586
69,0.0009214871162580237
70,0.0008500387368653219
71,0.0011098760559421807
72,0.0011793417091390307
73,0.0005078261370964664
74,0.0008004378092770872
75,0.0006524459098228845
76,0.0006555302593236555
77,0.002654715527958255
78,0.0005928710152060142
79,0.0010099204463960895
80,0.0008775173217279306
81,0.000708031789819585
82,0.0007204673247590737
83,0.0005810995120721223
84,0.0009421443672609827
85,0.0007318928504213029
86,0.0008519161231699065
87,0.000863934439575542
88,0.0012319864663154015
89,0.0009013967213656363
90,0.0005452655898193962
91,0.001152722011786635
92,0.0009100330038203101
93,0.0006327596370426583
94,0.0006019535693413712
95,0.0005161241933611603
96,0.0007161497475426873
97,0.0008107824726098778
